obligor_id,facility_id,obligor_name,obligor_type,tin,industry,sub_industry,country,credit_score,exposure_amount,outstanding_amount,status,risk_grade,created_date,review_date
OBL-00048,FAC-0040,National Energy PLC,Government Entity,99-4928281,Real Estate,Residential REIT,Japan,739,344786373.03,82014270.64,Defaulted,Investment Grade,2021-11-20,2022-11-04
OBL-00049,FAC-0098,Global Capital Group,Non-Profit Organization,25-8085252,Technology,Software,Netherlands,435,102586936.59,57858572.85,Active,Investment Grade,2022-01-14,2023-10-11
OBL-00050,FAC-0046,Pinnacle Innovations LLC,Government Entity,96-3396676,Healthcare,Biotech,United States,370,163432044.6,57067790.53,Watchlist,Distressed,2021-02-15,2022-01-01
OBL-00051,FAC-0052,Vantage Properties GmbH,Non-Profit Organization,37-2454383,Banking & Finance,Investment Banking,United States,402,43282781.65,25825798.6,Active,Investment Grade,2019-01-28,2020-09-20
OBL-00052,FAC-0019,International Manufacturing Corp.,Corporate,80-5780177,Government,Municipal,United States,327,1786778913.79,533851096.49,Restructuring,Sub-Investment Grade,2022-11-28,2024-02-04
OBL-00053,FAC-0044,Vector Energy Corp.,Corporate,73-2191383,Healthcare,Medical Devices,United States,840,700328857.38,521472934.71,Active,Sub-Investment Grade,2023-04-27,2024-06-25
OBL-00054,FAC-0084,Global Consulting Corp.,Corporate,43-4619565,Manufacturing,Aerospace,United States,340,202224917.05,131202504.25,Active,High Yield,2023-03-14,2023-11-23
OBL-00055,FAC-0040,Vantage Solutions PLC,Corporate,49-2325761,Transportation,Logistics,United States,823,368722039.99,28873303.42,Active,Investment Grade,2022-05-08,2024-05-07
OBL-00056,FAC-0043,Continental Holdings S.A.,Corporate,68-1923227,Transportation,Logistics,United States,616,395288004.07,164286335.53,Defaulted,Investment Grade,2021-03-23,2021-11-17
OBL-00057,FAC-0009,Titan Services PLC,Corporate,57-3129542,Technology,Software,UAE,575,4650038.17,2192922.13,Defaulted,Investment Grade,2022-03-06,2024-02-19
OBL-00058,FAC-0046,Nexus Pharmaceuticals Group,Corporate,73-3799805,Banking & Finance,Asset Management,United States,676,697014487.29,174115730.25,Active,Sub-Investment Grade,2018-08-20,2020-07-08
OBL-00059,FAC-0017,National Aerospace Group,Financial Institution,29-4002466,Technology,Software,UAE,336,200519338.32,8388929.42,Watchlist,High Yield,2017-03-12,2018-05-16
OBL-00060,FAC-0042,Pacific Pharmaceuticals Inc.,Corporate,38-9653253,Healthcare,Hospitals,Netherlands,347,381186914.83,115857333.63,Active,Investment Grade,2019-09-14,2021-03-28
OBL-00061,FAC-0095,Premier Consulting PLC,Government Entity,89-5069884,Telecommunications,Media,Singapore,775,98762778.88,42854045.5,Active,Distressed,2022-02-25,2023-03-17
OBL-00062,FAC-0065,Global Ventures Inc.,Non-Profit Organization,94-7312844,Telecommunications,Broadband,Germany,614,32432512.98,12633576.37,Active,Investment Grade,2022-03-20,2023-09-05
OBL-00063,FAC-0008,American Industries Ltd.,Non-Profit Organization,76-7929943,Transportation,Shipping,United States,681,1727886953.65,1596448794.71,Active,Investment Grade,2021-02-10,2022-05-22
OBL-00064,FAC-0076,Atlantic Resources PLC,Corporate,50-7592651,Government,Federal Agency,UAE,634,1045608234.48,74331202.08,Active,High Yield,2022-11-13,2024-07-30
OBL-00065,FAC-0065,Pacific Enterprises GmbH,Financial Institution,50-7820148,Real Estate,Residential REIT,Canada,423,163842316.47,119873475.96,Watchlist,Sub-Investment Grade,2021-11-13,2022-10-18
OBL-00066,FAC-0049,Vantage Industries Ltd.,Non-Profit Organization,51-3488460,Healthcare,Biotech,Hong Kong,393,69107984.96,7872635.04,Defaulted,Investment Grade,2021-06-01,2022-10-05
OBL-00067,FAC-0035,Nexus Biotech AG,Corporate,22-8751799,Manufacturing,Industrial Equipment,Brazil,404,305631188.0,287642588.8,Restructuring,Investment Grade,2019-12-29,2021-08-14
OBL-00068,FAC-0060,Horizon Consulting PLC,Non-Profit Organization,19-1365746,Technology,Software,Canada,366,185992263.62,145537038.83,Active,High Yield,2021-07-16,2022-04-08
OBL-00069,FAC-0029,Pinnacle Aerospace Inc.,Financial Institution,97-8158234,Energy,Oil & Gas,Japan,476,124047717.19,54326099.32,Active,Investment Grade,2018-09-02,2020-05-17
OBL-00070,FAC-0072,Vector Healthcare AG,Financial Institution,17-2471723,Energy,Utilities,Hong Kong,586,1352746747.81,44528326.21,Active,Investment Grade,2019-11-14,2021-03-10
OBL-00071,FAC-0045,Summit Aerospace AG,Non-Profit Organization,72-6771934,Retail & Consumer,Grocery,UAE,814,651261687.07,336359630.09,Active,High Yield,2019-11-01,2021-05-25
OBL-00072,FAC-0020,Vector Pharmaceuticals Group,Non-Profit Organization,84-4905100,Real Estate,Residential REIT,Brazil,463,893783140.14,24881392.03,Active,Investment Grade,2018-09-17,2019-05-14
OBL-00073,FAC-0013,United Enterprises Ltd.,Special Purpose Vehicle,50-7019382,Healthcare,Hospitals,Canada,328,1089326957.31,1016920923.84,Defaulted,Sub-Investment Grade,2020-09-02,2022-02-27
OBL-00074,FAC-0011,Meridian Dynamics LLC,Financial Institution,14-2514267,Government,Municipal,Switzerland,357,1448702002.86,1151518169.51,Active,Distressed,2023-03-06,2025-01-18
OBL-00075,FAC-0100,Apex Infrastructure LLC,Non-Profit Organization,51-1999183,Healthcare,Pharmaceuticals,United States,322,458329965.55,267402548.56,Active,Distressed,2023-03-17,2024-01-24
OBL-00076,FAC-0068,Apex Dynamics Group,Corporate,30-8329435,Energy,Oil & Gas,Japan,798,208474419.46,186548550.35,Defaulted,Sub-Investment Grade,2023-02-09,2023-11-19
OBL-00077,FAC-0099,Atlantic Enterprises Inc.,Government Entity,83-7569981,Energy,Utilities,UAE,333,672817079.97,112080593.08,Active,Distressed,2022-10-22,2024-02-15
OBL-00078,FAC-0048,Apex Enterprises Corp.,Non-Profit Organization,95-6632941,Manufacturing,Aerospace,Mexico,757,101376662.49,71782398.06,Active,Sub-Investment Grade,2019-11-22,2021-05-10
OBL-00079,FAC-0073,Pinnacle Logistics S.A.,Corporate,62-9272543,Healthcare,Medical Devices,Brazil,687,544111469.1,55843722.3,Active,Distressed,2015-06-06,2016-01-21
OBL-00080,FAC-0002,Global Ventures PLC,Corporate,19-6734590,Retail & Consumer,E-Commerce,United States,474,10100919.32,707305.97,Active,Investment Grade,2020-03-22,2021-07-16
OBL-00081,FAC-0061,United Analytics S.A.,Corporate,16-2698824,Technology,Software,South Korea,639,889155940.61,754506489.83,Active,Investment Grade,2017-12-10,2019-08-23
OBL-00082,FAC-0039,Atlantic Industries Group,Corporate,64-2470159,Retail & Consumer,Luxury Goods,Singapore,601,68876970.14,3247801.98,Restructuring,Distressed,2023-03-02,2025-01-12
OBL-00083,FAC-0020,Pacific Dynamics S.A.,Financial Institution,72-5446036,Telecommunications,Broadband,United States,393,333819574.95,202388507.82,Defaulted,Distressed,2016-06-24,2018-04-19
OBL-00084,FAC-0045,Nexus Systems Ltd.,Non-Profit Organization,44-2034137,Retail & Consumer,Grocery,Hong Kong,454,252298743.07,106845113.49,Restructuring,Investment Grade,2021-03-15,2022-12-05
OBL-00085,FAC-0051,Vector Consulting Ltd.,Financial Institution,48-2324645,Technology,Semiconductors,United States,704,932883649.77,745147632.87,Restructuring,Investment Grade,2022-06-12,2024-06-09
OBL-00086,FAC-0016,Atlantic Industries S.A.,Corporate,97-8304686,Transportation,Shipping,Mexico,506,37872865.65,35416794.81,Restructuring,Investment Grade,2021-06-03,2022-06-15
OBL-00087,FAC-0075,Meridian Ventures PLC,Special Purpose Vehicle,68-1207430,Government,State Authority,India,835,1748677643.3,111323188.92,Restructuring,High Yield,2023-01-05,2024-08-13
OBL-00088,FAC-0010,Horizon Innovations Corp.,Non-Profit Organization,46-9986438,Technology,Cloud Services,Germany,652,524617395.26,290398408.82,Active,Sub-Investment Grade,2018-02-15,2018-11-30
OBL-00089,FAC-0023,National Energy Group,Government Entity,40-1826965,Retail & Consumer,Food & Beverage,United States,786,177010716.58,67764173.69,Active,Sub-Investment Grade,2022-10-06,2024-05-19
OBL-00090,FAC-0032,Continental Solutions PLC,Government Entity,66-6383277,Banking & Finance,Asset Management,Singapore,575,469370232.16,219213853.09,Defaulted,High Yield,2023-06-01,2024-03-07
OBL-00091,FAC-0058,Titan Financial Inc.,Special Purpose Vehicle,30-2100870,Government,Municipal,Canada,618,435853206.71,378216486.49,Defaulted,Distressed,2020-05-24,2022-03-31
OBL-00092,FAC-0044,Continental Industries GmbH,Corporate,56-4340507,Retail & Consumer,Grocery,Canada,580,227675641.1,180155963.68,Active,High Yield,2023-05-19,2024-01-13
OBL-00093,FAC-0087,Vector Consulting AG,Corporate,54-3743303,Transportation,Rail,United States,564,255597595.36,118686079.39,Defaulted,Investment Grade,2023-05-14,2024-05-09
OBL-00094,FAC-0070,Continental Properties Ltd.,Corporate,93-7870390,Real Estate,Commercial REIT,United States,825,89890463.01,48868514.96,Active,Investment Grade,2022-04-28,2023-06-08
OBL-00095,FAC-0005,International Healthcare S.A.,Non-Profit Organization,54-8700708,Telecommunications,Broadband,Switzerland,558,731636138.34,155532329.79,Active,High Yield,2022-05-24,2023-09-28
OBL-00096,FAC-0008,Meridian Manufacturing N.V.,Special Purpose Vehicle,46-6007595,Real Estate,Property Management,United States,410,940533175.38,591818913.15,Active,Investment Grade,2023-01-29,2024-08-14
OBL-00097,FAC-0037,Atlantic Pharmaceuticals Ltd.,Corporate,86-7779646,Manufacturing,Consumer Goods,China,627,117944301.61,73516290.18,Defaulted,Investment Grade,2022-09-09,2023-09-16
OBL-00098,FAC-0003,Apex Services Ltd.,Government Entity,78-8981512,Banking & Finance,Insurance,Singapore,667,1740748286.49,669089590.91,Watchlist,Sub-Investment Grade,2016-06-24,2017-07-03
OBL-00099,FAC-0030,Apex Manufacturing Corp.,Corporate,55-4746820,Energy,Renewable Energy,Japan,614,296104279.01,208419791.48,Active,Sub-Investment Grade,2023-05-25,2024-05-26
OBL-00100,FAC-0037,Vector Technologies AG,Corporate,97-7403346,Manufacturing,Consumer Goods,Hong Kong,842,341855098.38,152812558.4,Active,High Yield,2023-06-28,2024-03-06
OBL-00101,FAC-0096,Apex Infrastructure LLC,Non-Profit Organization,20-9180249,Banking & Finance,Investment Banking,Germany,640,493504104.99,462823951.37,Defaulted,Investment Grade,2021-03-05,2022-01-25
OBL-00102,FAC-0006,Vector Innovations Corp.,Corporate,88-8276470,Manufacturing,Automotive,Mexico,739,269986759.55,195236502.02,Active,High Yield,2019-08-01,2020-07-08
OBL-00103,FAC-0080,Titan Technologies Inc.,Government Entity,10-5174559,Telecommunications,Cable,United States,531,1066840301.27,740521715.66,Defaulted,Sub-Investment Grade,2021-05-21,2022-10-12
OBL-00104,FAC-0064,Premier Dynamics GmbH,Government Entity,76-9793234,Real Estate,Residential REIT,Mexico,645,617293112.56,179514601.1,Active,Investment Grade,2018-07-16,2019-02-27
OBL-00105,FAC-0021,Continental Resources LLC,Corporate,12-9466346,Manufacturing,Industrial Equipment,China,473,248555005.14,223868555.84,Active,Sub-Investment Grade,2020-11-13,2021-05-31
OBL-00106,FAC-0013,Global Industries Corp.,Financial Institution,66-7379599,Banking & Finance,Insurance,China,426,1015129502.28,46855955.22,Watchlist,Sub-Investment Grade,2018-10-06,2019-07-23
OBL-00107,FAC-0065,Titan Systems N.V.,Special Purpose Vehicle,99-3301222,Telecommunications,Broadband,UAE,728,720570326.38,6369352.17,Restructuring,Investment Grade,2022-09-28,2023-07-08
OBL-00108,FAC-0004,Titan Technologies Group,Government Entity,62-5955170,Transportation,Airlines,Japan,464,873087846.28,412841430.36,Active,Distressed,2019-05-25,2020-08-16
OBL-00109,FAC-0047,Horizon Properties GmbH,Corporate,21-9584991,Telecommunications,Broadband,United States,376,480809677.72,5823533.74,Defaulted,Investment Grade,2019-08-20,2020-06-08
OBL-00110,FAC-0001,Premier Financial Group,Financial Institution,24-2593809,Real Estate,Residential REIT,United States,346,419154543.41,19941774.53,Active,Investment Grade,2018-02-08,2018-09-16
OBL-00111,FAC-0018,Apex Enterprises Corp.,Financial Institution,61-8659448,Energy,Utilities,Hong Kong,578,30107477.39,7674213.19,Restructuring,High Yield,2020-01-29,2021-08-12
OBL-00112,FAC-0099,Stellar Consulting GmbH,Non-Profit Organization,82-8351152,Telecommunications,Cable,United Kingdom,485,173135858.44,119479420.9,Watchlist,High Yield,2022-08-07,2023-05-20
OBL-00113,FAC-0061,National Holdings PLC,Government Entity,50-1207369,Manufacturing,Automotive,Netherlands,837,832092152.24,89275670.77,Restructuring,Distressed,2022-03-17,2023-12-08
OBL-00114,FAC-0053,Continental Aerospace Group,Government Entity,96-7457158,Government,Federal Agency,South Korea,452,92588692.91,61622513.37,Restructuring,Distressed,2022-11-16,2024-07-31
OBL-00115,FAC-0072,American Innovations GmbH,Corporate,40-6551494,Government,Federal Agency,Canada,584,790472454.02,352411978.52,Active,Distressed,2022-09-03,2023-08-18
OBL-00116,FAC-0092,American Aerospace GmbH,Corporate,25-9344540,Healthcare,Biotech,United States,318,121024218.56,51069731.08,Active,High Yield,2021-11-29,2023-08-29
OBL-00117,FAC-0043,Titan Biotech Ltd.,Government Entity,95-8653898,Retail & Consumer,E-Commerce,United States,649,962203403.34,880428320.44,Active,Investment Grade,2023-06-18,2024-10-21
OBL-00118,FAC-0060,Pacific Partners Ltd.,Corporate,53-6958243,Healthcare,Biotech,South Korea,598,943374718.41,537679811.23,Watchlist,Distressed,2021-06-10,2023-03-15
OBL-00119,FAC-0013,Pacific Systems N.V.,Corporate,34-3025778,Manufacturing,Automotive,Canada,702,938481753.53,732716557.35,Active,High Yield,2022-08-28,2024-04-18
OBL-00120,FAC-0084,Nexus Logistics N.V.,Special Purpose Vehicle,27-9368955,Healthcare,Hospitals,Mexico,304,37306369.95,22442707.99,Watchlist,Investment Grade,2023-06-25,2024-04-26
OBL-00121,FAC-0030,Pinnacle Properties N.V.,Special Purpose Vehicle,51-9457564,Transportation,Rail,United States,693,427947685.42,70597569.64,Active,Distressed,2016-09-13,2017-06-26
OBL-00122,FAC-0004,Stellar Analytics AG,Corporate,99-6266549,Healthcare,Hospitals,United States,522,1073186279.12,461688408.41,Active,Investment Grade,2018-08-26,2019-07-13
OBL-00123,FAC-0056,Meridian Infrastructure Group,Government Entity,24-6909569,Government,Municipal,India,791,205217947.83,131083995.89,Watchlist,Distressed,2019-07-18,2021-06-12
OBL-00124,FAC-0036,National Technologies PLC,Non-Profit Organization,30-5808610,Retail & Consumer,Luxury Goods,United States,556,848980457.28,20382776.34,Active,Investment Grade,2017-07-31,2018-03-22
OBL-00125,FAC-0073,Meridian Energy Ltd.,Special Purpose Vehicle,99-5825775,Real Estate,Residential REIT,Brazil,348,1618399747.63,157560935.57,Active,High Yield,2022-12-27,2024-02-09
OBL-00126,FAC-0086,Summit Innovations N.V.,Special Purpose Vehicle,87-4296204,Retail & Consumer,Luxury Goods,United States,498,1494052968.79,288251914.64,Active,High Yield,2021-06-27,2022-08-11
OBL-00127,FAC-0033,International Biotech PLC,Corporate,30-5278461,Energy,Oil & Gas,Germany,305,1067622255.21,121053545.9,Active,High Yield,2020-01-24,2021-10-03
OBL-00128,FAC-0053,Horizon Biotech Group,Corporate,50-9814666,Energy,Oil & Gas,France,525,105036989.4,77199866.14,Active,Distressed,2023-03-02,2025-01-12
OBL-00129,FAC-0062,Apex Financial PLC,Corporate,89-9900294,Technology,Hardware,United States,786,184375575.75,38744347.38,Watchlist,Investment Grade,2019-11-29,2021-05-01
OBL-00130,FAC-0028,Apex Energy Corp.,Financial Institution,42-5745083,Technology,Semiconductors,United States,325,1415348767.3,825171036.65,Watchlist,Sub-Investment Grade,2020-05-21,2020-12-27
OBL-00131,FAC-0013,American Partners LLC,Non-Profit Organization,78-9945709,Transportation,Rail,United States,307,583445272.8,361124493.74,Defaulted,Investment Grade,2020-04-16,2022-03-23
OBL-00132,FAC-0007,American Services LLC,Corporate,68-6565260,Healthcare,Medical Devices,United States,338,323820486.36,254947507.82,Active,Investment Grade,2023-06-10,2025-02-24
OBL-00133,FAC-0070,Pinnacle Logistics S.A.,Financial Institution,50-1283383,Banking & Finance,Investment Banking,South Korea,698,45807625.64,35754608.66,Defaulted,Investment Grade,2022-06-12,2024-01-30
OBL-00134,FAC-0052,Pacific Dynamics PLC,Special Purpose Vehicle,21-5723078,Transportation,Airlines,Chile,748,4117125.93,3317739.31,Active,High Yield,2021-05-22,2023-04-16
OBL-00135,FAC-0015,Atlantic Dynamics Group,Corporate,80-3371859,Banking & Finance,Insurance,Switzerland,426,246378749.15,174785079.93,Active,Investment Grade,2023-04-12,2024-08-06
OBL-00136,FAC-0079,Stellar Manufacturing AG,Corporate,30-4086885,Government,Municipal,United States,526,161583255.34,114866588.52,Watchlist,Sub-Investment Grade,2022-05-07,2023-06-07
OBL-00137,FAC-0060,Premier Properties Corp.,Corporate,22-4312117,Healthcare,Pharmaceuticals,UAE,798,981729882.6,794846379.63,Active,Sub-Investment Grade,2022-07-16,2023-03-27
OBL-00138,FAC-0052,Nexus Ventures N.V.,Government Entity,49-3556763,Energy,Renewable Energy,Brazil,673,37328147.23,31919771.32,Restructuring,Sub-Investment Grade,2020-12-09,2022-10-17
OBL-00139,FAC-0067,Summit Solutions Group,Financial Institution,69-8471866,Retail & Consumer,Grocery,Brazil,667,514253990.77,108224453.57,Restructuring,Sub-Investment Grade,2022-08-17,2023-11-23
OBL-00140,FAC-0024,Meridian Technologies PLC,Government Entity,90-2282825,Telecommunications,Wireless,UAE,377,1028149101.63,822214276.32,Active,Distressed,2023-03-04,2024-01-21
OBL-00141,FAC-0095,Atlantic Financial S.A.,Corporate,85-5882155,Banking & Finance,Insurance,United Kingdom,437,508891294.36,262738467.31,Active,Distressed,2023-02-10,2024-12-04
OBL-00142,FAC-0011,Titan Solutions GmbH,Corporate,32-3452813,Transportation,Airlines,United States,795,785040504.91,494217983.1,Active,Investment Grade,2023-05-22,2024-05-05
OBL-00143,FAC-0075,Summit Energy GmbH,Financial Institution,15-1669489,Healthcare,Biotech,United Kingdom,631,539588414.24,119960074.31,Active,Distressed,2022-07-03,2024-06-12
OBL-00144,FAC-0068,Titan Systems S.A.,Corporate,76-7808902,Real Estate,Development,Netherlands,661,354731455.07,123103144.71,Restructuring,Sub-Investment Grade,2023-04-16,2023-12-31
OBL-00145,FAC-0089,Titan Manufacturing PLC,Corporate,29-4135756,Telecommunications,Cable,Chile,461,91202727.85,38113963.41,Active,Distressed,2021-12-22,2022-09-06
OBL-00146,FAC-0082,Allied Consulting LLC,Government Entity,62-1376582,Technology,Hardware,United States,549,430262980.32,196819849.21,Active,Investment Grade,2021-11-07,2023-09-08
OBL-00147,FAC-0013,National Enterprises PLC,Corporate,76-7802428,Government,Municipal,Germany,319,1186874255.43,44188897.55,Defaulted,Sub-Investment Grade,2021-09-14,2022-08-10
